"","tree","chamber","date","flux","fluxMedian","fluxSD","flux_g","fluxMedian_g","fluxSD_g","AIC","r2"
"26","15","1","2017-06-21","1.33301804721829","1.24044262685959","0.129528408820771","1.383340011708","1.28726983220059","0.134418158065119","222.975530472771","0.957624778051893"
"27","15","2","2017-06-21","2.12233752132214","2.10918312380731","0.00861162357933958","2.20245661168706","2.18880563040429","0.00893671581410908","398.458099996235","0.998447050046059"
"28","16","1","2017-06-21","1.80244670939289","1.7364365615254","0.0379871296941923","1.87048979365116","1.80198773629761","0.039421159035","252.624217540591","0.992307436909274"
"29","16","2","2017-06-21","2.29202514689748",NA,"0.0280237948849627","2.37855001300292",NA,"0.029081704351388","156.465455644944","0.991551005068566"
"30","17","1","2017-06-21","1.0795000978931","1.06236675137254","0.0226986562548025","1.1202516583886","1.10247152118355","0.0235555396078838","90.0746689621062","0.994086931597022"
"31","17","2","2017-06-21","1.69210731276583","1.68164577164578","0.0237858421590857","1.75598504066567","1.74512857218372","0.0246837672149281","126.967228424843","0.996360846082541"
"32","18","1","2017-06-21","2.89852779830422","2.87927145459189","0.0449320063797561","3.00794838210132","2.98796510371132","0.0466282075933944","377.051660083536","0.993577654034858"
"33","19","1","2017-06-21","1.67722554035043","1.65610402611442","0.0230798085750756","1.74054147538888","1.71862261554185","0.0239510805807081","428.428296461716","0.982300338946381"
"34","19","2","2017-06-21","1.63064444170005","1.5408495078198","0.0705946971591221","1.69220192163201","1.5990171930798","0.0732596752147578","466.959823840764","0.95730242689499"
"35","20","1","2017-06-21","1.50313867419063","1.50064725207264","0.017889191413879","1.55988276039679","1.55729728609728","0.0185645155454295","175.730930595588","0.997344406225419"
"36","20","2","2017-06-21","2.54300627676367","2.46855884452179","0.0824819410746113","2.63900578091401","2.56174792832602","0.0855956673429543","250.402769588403","0.990394400870499"
"37","21","1","2017-06-21","1.74928477861816","1.83052488596236","0.114554717714111","1.81532097872491","1.89962793261739","0.118879204129706","330.576287115242","0.972945430176403"
"38","21","2","2017-06-21","3.2607945932541","3.30840548866877","0.0741288609979995","3.38389089346728","3.43329911922821","0.0769272551522184","263.067295648422","0.994743007670372"
"39","22","1","2017-06-21","2.6270838913192","2.52989589746866","0.0697333532549191","2.72625735905005","2.62540047955646","0.0723658152336336","198.312379066345","0.993667483129929"
"40","22","2","2017-06-21","2.28818649741229","2.29222069116735","0.0409730495702215","2.3745664529642","2.3787529391472","0.0425197985807172","153.036836741299","0.996618167919727"
"41","22","3","2017-06-21","2.69665051928269",NA,"0.0892201957093462","2.79845015504582",NA,"0.0925882937854523","209.446386315732","0.952059881099017"
"42","23","1","2017-06-21","1.27554441398797","1.28565587460343","0.166007937023843","1.32369672583378","1.33418989813206","0.172274803049668","301.355379227843","0.869054902670545"
"43","23","2","2017-06-21","2.01169454412862","2.02452467495092","0.0695499915561818","2.08763681784729","2.10095129124018","0.0721755315574243","214.581266117312","0.983246545957385"
"44","24","1","2017-06-19","1.6840072762201",NA,"0.0313868939081678","1.74757922450031",NA,"0.0325717617079587","159.617594738955","0.981252124912818"
"45","24","2","2017-06-19","1.61520851357309",NA,"0.017896046514673","1.67618328104388",NA,"0.0185716294290205","94.2703550106716","0.993293479081848"
"46","24","3","2017-06-19","1.95227639669877",NA,"0.013181248207118","2.02597561158471",NA,"0.013678845599436","63.4110707376477","0.997453690225466"
"47","25","1","2017-06-23","1.2492830494128","1.20036372490567","0.032263771632298","1.29644398424136","1.24567793566635","0.0334817419169259","617.459234790798","0.9593445458474"
"48","25","2","2017-06-23","1.66324931977156","1.66493861154737","0.0123305898599109","1.72603764689266","1.72779071010873","0.0127960745593585","198.524520129329","0.997418917914423"
"49","25","3","2017-06-23","2.08603121692778","2.10944930236322","0.0477652087477066","2.16477972977929","2.18908185730715","0.049568364484016","276.867474579083","0.9866778746949"
